Date,Team,Opponent,GoalsFor,GoalsAgainst,EloPre,EloPost,ExpWinProb,IsHome
2012-10-20,Man United,Stoke,4.0,2.0,1792.4833344346373,1795.3073214999847,0.8588006467326311,1
2012-10-28,Man United,Chelsea,3.0,2.0,1795.3073214999847,1804.712248546651,0.5297536476666861,0
2012-11-03,Man United,Arsenal,2.0,1.0,1804.712248546651,1809.6817988348005,0.7515224855925274,1
2012-11-10,Man United,Aston Villa,3.0,2.0,1809.6817988348005,1813.674495522537,0.800365165613175,0
2012-11-17,Man United,Norwich,0.0,1.0,1813.674495522537,1797.424705708849,0.8124894906843977,0
2012-11-24,Man United,QPR,3.0,1.0,1797.424705708849,1798.9264927255917,0.9249106491628571,1
2012-11-28,Man United,West Ham,1.0,0.0,1798.9264927255917,1801.1569486858275,0.8884772019882078,1
2012-12-01,Man United,Reading,4.0,3.0,1801.1569486858275,1804.4283474130623,0.8364300636382589,0
2012-12-09,Man United,Man City,3.0,2.0,1804.4283474130623,1815.0600572278775,0.46841450925923855,0
2012-12-15,Man United,Sunderland,3.0,1.0,1815.0600572278775,1817.218152250547,0.8920952488665148,1
2012-12-23,Man United,Swansea,1.0,1.0,1817.218152250547,1811.6637962289544,0.777717801079637,0
2012-12-26,Man United,Newcastle,4.0,3.0,1811.6637962289544,1814.454926747221,0.8604434740866792,1
2012-12-29,Man United,West Brom,2.0,0.0,1814.454926747221,1817.3971722656286,0.8528877240796228,1
2013-01-01,Man United,Wigan,4.0,0.0,1817.3971722656286,1821.1074140665082,0.8144879099560121,0
2013-01-13,Man United,Liverpool,2.0,1.0,1821.1074140665082,1824.2906429777588,0.8408385544374752,1
2013-01-20,Man United,Tottenham,1.0,1.0,1824.2906429777588,1821.4384675033202,0.6426087737219311,0
2013-01-30,Man United,Southampton,2.0,1.0,1821.4384675033202,1823.382317235113,0.9028075134103521,1
2013-02-02,Man United,Fulham,1.0,0.0,1823.382317235113,1827.8417790838803,0.7770269075616434,0
